;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188
0;130631,84;502696,0;16463,29;89737,8;38953,15;56301,95;5026,96;391977,21;44747,33;8294,48;122406,48;48364,38;110833,13;156593,31;71241,35;54919,54;121149,74;102223,23;84297,21;90861,05;58312,74;362725,45;33177,94;16840,32;11687,68;11436,33;41472,42;97316,84;4021,57;3393,2;18222,73;63842,39;43734,55;24883,45;16086,27;27522,61;16588,97;80934,06;184740,78;271752,15;74776,03;16840,32;32549,57;51903,36;130952,31;15878,91;105943,18;263915,4;25134,8;63214,02;83070,51;116625,47;67109,92;70817,3;231994,2;18976,77;195674,42;247166,3;22927,34;27773,95;150934,47;103052,68;47756,12;80557,03;113734,97;93956,4;122532,15;39712,98;59066,78;364541,53;8860,02;473162,61;13572,79;191275,83;502696,0;61328,91;192532,57;42041,9;6158,03;164507,27;239408,97;34748,86;92747,41;278240,98;81228,13;39712,37;52783,08;59785,64;54919,54;249337,22;17720,03;239408,97;35113,32;67235,59;21113,23;17091,66;15080,88;63716,72;29282,04;18222,73;18097,06;502696,0;12818,75;12316,05;94107,81;8168,81;52280,38;16840,32;53537,12;36822,48;30790,13;151789,06;11184,99;92345,26;30497,31;50269,6;30724,78;268942,36;30059,25;45242,64;31732,69;67863,96;36571,13;103304,03;72136,88;124668,61;30790,13;10556,62;45871,01;53914,15;368224,82;75907,1;125674,0;19498,32;11059,31;53537,12;48888,29;122657,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;14703,86;261024,9;11562,01;191275,83;32172,54;6409,37;56678,97;178205,73;15332,23;329519,74;68743,68;63842,39;11564,52;40215,68;90485,28;176335,07;97648,7;37953,55;38204,9;26997,82;52952,74;12944,42;17424,7;65350,48;233558,85;172173,38;14201,16;63842,39;11373,5;83196,19;70754,46;40592,7;52623,05;91616,35;20861,88;163376,2;24081,44;226590,22;50583,79;30312,57;29142,54;23283,91;48887,19;92549,85;11813,36;168277,49;42980,51;85458,32;30664,46;6158,03;63716,72;125674,0;92873,09;7405,97;17594,36;42741,73;62837,0;81637,83;106384,7;293825,81;21113,23;73142,27;31418,5;129569,89;273969,32;24820,62;144022,4;45368,31;52783,08;15834,92;99532,24;21867,28;27391,18;27773,95;22495,65;20233,51;15960,6;52623,05;60418,57;31042,11;502696,0;45016,43;223574,05;16211,95;53537,12;74524,68;137862,37;67863,96;30161,76;16211,95;11117,62;25116,21;185180,64;334292,84;56222,36;47630,45;18976,77;26517,21;33554,96;99381,74;94255,5;18222,73;11562,01;21490,25;46248,03;67109,92;12316,05;107199,92;30538,78;25386,15;368727,52;3393,2;109729,99;63968,07;66858,57;6786,4;16840,32;125674,0;93956,4;383314,26;9551,22;105943,18;100790,55;25197,64;22945,56;10831,59;50269,6;235136,05;22998,34;10430,94;73831,88;20107,84;62393,95;67109,92;56143,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;279750,32;323233,53;88600,17;15041,92;125674,0;22637,31;98842,6;39210,29;80905,15;86040,82;54291,17;13196,99;34937,37;26391,54;14075,49;31732,69;51400,67;61705,93;378027,39;502696,0;26155,27;3518,87;293448,79;75907,1;88223,15;16463,29;14201,16;56867,49;33429,28;100394,69;88600,17;83698,88;7163,42;21741,6;147918,3;13824,14;29784,74;49264,21;47881,79;66984,24;9048,53;48554,15;35565,74;86040,82;319840,33;82693,49;25951,68;201078,4;60197,85;16211,95;174435,51;67109,92;68492,33;124794,28;44739,94;66607,22;37306,96;89605,56;22528,95;51589,18;68115,31;13362,14;238277,9;45965,27;27208,42;71759,85;53072,81;273466,62;502696,0;116625,47;17971,38;28402,32;22998,34;436968,5;44739,94;21364,58;125674,0;67738,29;13824,14;77792,21;8671,51;228322,24;324398,07;27648,28;47655,58;15080,88;17343,01;46195,88;50482,47;46876,4;25511,82;244561,6;62661,06;14452,51;36571,13;107953,97;22948,07;17217,34;36445,46;191150,15;25511,82;79740,15;11562,01;12693,07;15583,58;502696,0;38707,59;188762,35;122532,15;16714,64;62390,57;107325,6;11687,68;15960,6;42370,83;63214,02;15080,88;34434,68;398248,34;24757,78;53097,27;75278,73;70126,09;8420,16;279750,32;69874,74;244459,13;22998,34;31544,17;19856,49;271078,82;347865,63;280378,69;20861,88;125674,0;32172,54;22118,62;85408,28;19102,45;23023,43;72237,42;117612,01;41158,24;15457,9;14452,51;442138,71;20233,51;176335,07;14129,78;7588,51;355783,09;52513,51;383314,26;65099,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;103304,03;476304,46;46876,4;63591,04;62837,0;32228,47;51878,23;177326,01;171042,31;180593,54;35817,09;37576,53;51400,67;100287,85;58597,35;79802,99;62020,12;125674,0;51777,69;122657,82;89354,21;502696,0;45745,34;31795,52;235136,05;153950,65;56176,28;5152,63;116122,78;120521,37;138492,75;43985,9;9676,9;61957,28;17720,03;45242,64;22621,32;502696,0;83573,21;125674,0;9802,57;89605,56;94381,17;33052,26;133340,11;19605,14;39109,75;283080,69;125674,0;37862,25;22118,62;37199,5;144902,12;83698,88;15583,58;18097,06;27625,7;125674,0;52783,08;94758,2;502696,0;62585,65;99785,16;67738,29;64093,74;37576,53;82190,8;24380,76;64093,74;77540,86;120144,34;29141,29;502696,0;75027,38;10305,27;23878,06;68349,06;41409,58;43923,06;59380,97;47944,63;250065,42;8797,18;18864,66;596951,5;166769,4;1743,1;4712,78;36194,11;9802,57;50772,3;146033,19;90359,61;161684,63;46876,4;153322,28;33931,98;259531,01;417489,03;55296,56;33429,28;67361,26;106822,9;75349,1;502696,0;53411,45;79740,15;114436,86;29910,41;321222,74;89605,56;33115,1;312928,26;65252,45;83447,54;81499,59;50018,25;30413,11;16331,34;19498,32;502696,0;17877,13;249714,24;21741,6;152693,91;90887,44;184740,78;203214,86;9802,57;4147,24;254238,5;109085,03;314,19;43860,23;84829,95;295761,19;9928,25;31292,83;502696,0;13824,14;13558,97;36571,13;34949,94;25009,13;39084,61;32046,87;29407,72;38330,57;5491,95;105566,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;22623,38;216410,63;107325,6;71885,53;43985,9;27145,58;51274,99;16588,97;124794,28;118510,58;55799,26;131832,03;39461,64;502696,0;220118,01;20497,43;50520,95;312425,56;31544,17;77163,84;221688,94;11687,68;48761,51;31544,17;19881,63;18348,4;130441,44;153573,63;42100,79;58438,41;17091,66;78546,25;37953,55;502696,0;27447,2;35440,07;83321,86;17217,34;62585,65;502696,0;37199,5;47127,75;19605,14;74901,7;17845,71;65161,97;93501,46;21867,28;21490,35;138241,4;48824,35;79802,99;83573,21;9928,25;14578,18;133465,79;189265,04;13037,42;80180,01;151789,06;15834,92;79677,32;119640,39;66732,89;27648,28;34434,68;157439,36;502696,0;66607,22;20987,56;85961,02;257568,86;70126,09;11184,99;168164,38;502696,0;19730,82;466753,24;61932,15;292694,75;30487,26;17079,1;6409,37;81688,1;79928,66;14361,64;33115,1;20987,56;41095,4;87667,67;36948,16;44362,92;59820,82;323736,22;20736,21;41346,75;628370,0;65252,45;44488,6;11184,99;74414,09;40781,21;103052,68;333538,8;34874,54;54291,17;17594,36;21238,91;54291,17;347991,31;18976,77;59695,15;51636,93;81939,45;22244,3;107325,6;2010,78;355783,09;240540,04;15080,88;357165,51;79396,17;87217,76;7163,42;125674,0;27396,93;21461,35;43860,23;134848,2;57935,71;93452,44;11813,36;107576,94;27648,28;12693,07;73016,59;72639,57;57810,04;502696,0;17091,66;280630,04;18725,43;20359,19;96637,02;25164,81;28150,98;11562,01;11562,01;35063,05;25386,15;40969,72;101293,24;32549,57;75027,38;17594,36;314,19;71948,37;37576,53;47756,12;30790,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;48761,51;100790,55;124291,59;44237,25;37576,53;502696,0;41849,44;158286,82;78797,6;41472,42;38079,22;40781,21;63731,8;78294,9;126805,07;502696,0;102157,88;6535,05;271455,84;19856,49;70126,09;43219,29;113357,95;9676,9;13824,14;27648,28;63465,37;19102,45;103548,26;37953,55;50520,95;19039,61;4712,78;77540,86;19228,12;16714,64;51797,49;165335,46;12567,4;43073,44;99532,24;15583,58;157972,22;131832,03;49515,56;64572,22;104560,77;14075,49;490756,97;40969,72;107331,88;26391,54;24317,92;33177,94;135225,22;26014,52;473162,61;25134,8;21113,23;232622,57;66217,63;46449,11;31669,85;43860,23;66858,57;63339,7;256123,61;236141,45;167774,79;431690,19;121778,11;41472,42;83573,21;88331,54;89251,16;97774,37;114991,71;99771,9;60917,33;399643,32;69120,7;34686,02;48887,19;12043,75;22118,62;218295,74;45368,31;486609,73;41660,93;53413,96;89354,21;125674,0;57935,71;14361,64;128438,83;38633,44;49012,86;56301,95;29533,39;275477,41;16086,27;13447,12;242726,76;11184,99;113609,3;140377,86;15258,08;57363,9;18097,06;113860,64;596951,5;43483,2;78738,52;27396,93;49641,23;12693,07;19982,17;226100,09;63528,21;63842,39;54291,17;70525,11;24506,43;502696,0;42226,46;48761,51;31041,48;168403,16;25386,15;172173,38;27899,63;18851,1;15457,9;37953,55;165009,96;125674,0;33435,57;57056,0;28402,32;43985,9;391977,21;65727,5;118133,56;59946,5;445314,11;88474,5;47756,12;28779,35;37702,2;48887,19;30487,26;185243,48;377,02;100559,31;26391,54;228322,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;9299,88;51652,01;37765,04;102424,31;91239,32;31795,52;60197,85;12567,4;19982,17;41975,12;29876,48;182418,02;79928,66;75349,1;156087,11;27786,52;302371,64;246698,06;23283,91;53034,43;271208,26;16588,97;21490,35;10807,96;9174,2;128313,15;21490,25;85458,32;445262,98;56176,28;136177,83;85621,7;20861,88;125422,65;139060,79;83698,88;26014,52;115863,89;25260,47;126805,07;41472,42;280378,69;11373,5;252981,76;20107,84;330396,95;40969,72;136356,29;24820,62;36948,16;296464,97;115620,08;29784,74;83698,88;80379,83;32549,57;33906,85;24255,08;79396,17;47253,42;29910,41;57636,11;23249,69;71885,53;77540,86;43985,9;21468,89;57056,0;88331,54;25511,82;94758,2;35942,76;56268,02;12818,75;100539,2;68618,0;13698,47;36571,13;11717,22;88600,17;97774,37;9802,57;44488,6;113357,95;17845,71;125674,0;25134,8;58941,11;16463,29;11117,62;19353,8;79551,64;502696,0;48133,14;370768,46;34937,37;18348,4;8922,85;66940,63;12693,07;57558,69;125674,0;16211,95;188762,35;3393,2;30312,57;23752,39;169534,23;11436,33;50897,97;14075,49;14452,51;38581,92;125674,0;28025,3;42100,79;10789,11;36319,79;34309,0;179336,8;13321,44;58249,9;86840,73;13007,26;68995,03;25888,84;24506,43;12818,75;125674,0;34309,0;149126,03;25511,82;40969,72;233627,97;188511,0;80305,69;244058,91;486609,73;14452,51;347865,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;28779,35;39964,33;10430,94;52908,75;10027,94;80619,87;114614,69;117630,86;71005,81;63311,42;34686,02;280253,02;132334,72;225836,18;9425,55;68743,68;107093,1;115620,08;138241,4;125674,0;294090,91;78550,38;50897,97;236141,45;245290,51;125674,0;44991,29;50557,39;15960,6;103555,38;22244,3;17211,05;26831,4;125674,0;41975,12;9798,8;37765,04;47127,75;502696,0;36319,79;432318,56;159480,31;20107,84;38456,24;18976,77;502696,0;87343,43;82868,09;105189,14;97900,05;67989,63;81059,73;27648,28;16211,95;57810,04;29407,72;84730,96;90485,28;22178,39;177954,38;230333,48;154579,02;23375,36;94695,36;27145,58;502696,0;17594,36;139875,16;78671,92;8545,83;125674,0;82002,29;17720,03;61932,15;61065,0;16337,62;311269,36;10789,11;75150,9;275477,41;57181,67;12441,73;628370,0;13572,79;16211,95;19102,45;224202,42;99785,16;15646,41;27648,28;206482,38;48887,19;176446,3;63591,04;76880,87;502696,0;78550,38;95386,57;57391,7;42100,79;85961,02;41409,58;125674,0;27145,58;75349,1;21364,58;104058,07;147091,36;180593,54;67612,61;75530,07;113106,6;36445,46;21917,55;139875,16;17367,93;56867,49;41472,42;44111,57;246572,39;17845,71;87971,8;83321,86;502696,0;70377,44;25888,84;247077,58;52505,53;18851,1;122657,82;115745,75;107325,6;8797,18;98528,42;100664,87;56268,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;17091,66;55588,12;100679,95;177439,12;20820,1;44488,6;16211,95;179336,8;110639,41;48887,19;188511,0;16463,29;29533,39;18851,1;90736,63;401639,56;24280,22;93250,11;502696,0;75404,4;219301,13;70126,09;391223,16;41095,4;75027,38;51652,01;53788,47;36948,16;202460,81;16211,95;16211,95;188882,3;464993,8;72938,16;22621,32;37029,92;80619,87;23752,39;78923,27;190521,78;14075,49;22948,07;16617,37;125674,0;86338,04;23865,49;53537,12;7540,44;69120,7;13447,12;59569,48;490882,64;46122,36;78546,25;245290,51;77289,51;135225,22;85458,32;163627,55;7540,44;224202,42;5655,33;69372,05;5403,98;62082,96;229732,07;22623,53;46750,73;20233,51;49012,86;121149,74;502696,0;97648,7;69120,7;124919,96;172173,38;486609,73;172824,22;41472,42;88348,82;145119,21;41346,75;436591,48;26991,57;51526,34;17424,7;36445,46;41472,42;43985,9;13447,12;14201,16;101670,27;26768,56;37702,2;16086,27;61705,93;52657,41;28779,35;47655,58;60072,17;85332,65;502696,0;18474,08;125674,0;13195,77;126264,67;33052,26;17312,85;22872,67;14248,6;94632,52;13447,12;73142,27;25260,47;51526,34;41723,77;80180,01;34937,37;113106,6;9991,08;198954,51;207594,22;39587,31;23249,69;79928,66;40379,06;60197,85;94758,2;8797,18;5026,96;74776,03;58597,35;62711,33;130575,29;26517,21;99031,11;30161,76;31698,63;56867,49;22872,67;89856,91;148546,67;65978,85;182315,27;65099,13;66267,9;8294,48;17845,71;64093,74;172584,33;20987,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;97774,37;114363,34;28905,02;18599,75;195184,93;32457,86;41723,77;125674,0;13070,1;78637,14;28653,67;142514,32;52513,51;255118,22;123411,87;28905,02;114991,71;110216,1;8168,81;82567,82;50897,97;63311,42;9440,63;116122,78;21050,4;19605,14;333359,08;502696,0;628370,0;22528,95;72388,22;12316,05;117756,54;68995,03;30086,36;176335,07;18348,4;368727,52;16337,62;65224,81;26391,54;85081,3;232622,57;44488,6;125674,0;24255,08;23124,02;99910,83;16617,37;38079,22;52406,06;42226,46;20359,19;85923,14;53034,43;14467,4;31544,17;33554,96;272838,25;278240,98;109569,81;25134,8;17343,01;66355,87;35565,74;40215,68;8471,43;125674,0;11562,01;11559,49;51526,34;167088,55;27484,9;129569,89;596951,5;57181,67;56678,97;255507,81;33680,63;62962,67;16840,32;13447,12;121778,11;13949,81;85583,99;78797,6;92873,09;113232,27;66607,22;42729,16;103178,35;53914,15;68671,67;81939,45;71382,83;77666,53;20233,51;125674,0;63151,19;221326,99;168026,14;184156,36;22395,11;24003,73;11687,68;125674,0;16211,95;37953,55;13949,81;125674,0;295962,27;22244,3;233627,97;37199,5;90887,44;10493,78;125674,0;12693,07;42352,14;19353,8;182836,72;455635,88;320468,7;22746,99;70377,44;12190,38;15646,41;312299,89;70000,42;11687,68;125674,0;15834,92;25164,81;30036,09;79928,66;17594,36;20233,51;67185,32;285665,22;67801,12;12567,4;46373,71;99526,17;6409,37;15960,6;72980,15;50482,47;125674,0;367052,28;455635,88;34560,35;32172,54;65197,16;252604,74;50772,3;88348,82;26768,56;39587,31;78550,38;72388,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;14269,03;167900,46;125674,0;11559,49;11626,73;25134,8;16840,32;20736,21;20820,1;116876,82;91860,15;43483,2;182836,72;33052,26;428019,25;61077,56;125674,0;74650,36;63842,39;17594,36;13509,96;37306,96;29142,54;473076,47;10556,62;67361,26;11184,99;67109,92;18159,89;10053,92;15062,41;122280,8;17367,93;52531,73;18976,77;177326,01;19730,82;11184,99;54156,7;16086,27;35455,63;192029,87;25009,13;18348,4;11687,68;10053,92;17594,36;265297,81;233627,97;59569,48;75150,9;12190,38;53411,45;82693,49;38833,27;171922,03;38456,24;13195,77;53070,36;54843,38;38958,94;31698,63;51777,69;12441,73;72269,46;502696,0;22369,97;18097,06;23283,91;61580,26;54958,5;100413,53;24632,1;502696,0;59820,82;23752,39;323233,53;82190,8;31987,69;30161,76;50269,6;42100,79;69120,7;125674,0;127362,04;30927,04;9440,63;62837,0;47630,45;134596,85;12818,75;165386,98;77666,53;20117,89;219301,13;166518,05;61203,24;27899,63;39109,75;119390,3;9676,9;20484,86;22998,34;92747,41;78106,39;88223,15;190660,03;9551,22;271078,82;21615,93;99381,74;16337,62;9901,1;11562,01;69246,37;181975,95;26985,98;79048,95;30036,09;19102,45;105691,83;19102,45;51589,18;190125,91;164632,94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;25763,17;15834,92;71759,85;74273,33;230046,26;158851,94;20422,03;195046,05;28658,69;24255,08;6283,7;256626,31;233250,94;64470,76;256374,96;68240,98;43985,9;26391,54;30724,78;19380,5;47504,77;95671,57;80180,01;43775,4;64947,18;88593,26;27087,94;22621,32;50557,39;7540,44;271208,26;98025,72;125674,0;75907,1;345100,8;64572,22;59569,48;37953,55;226213,2;62837,0;54291,17;34434,68;11059,31;31268,14;121149,74;15084,65;140754,88;441835,86;125674,0;130441,44;54843,38;24003,73;502696,0;211132,32;90485,28;100413,53;53072,81;31167,15;18474,08;22998,34;20359,19;89131,77;13824,14;157486,99;20359,19;18851,1;55547,91;100559,31;26768,56;121652,43;67306,16;10682,29;148546,67;154704,69;502696,0;34937,37;86966,41;56398,72;54919,54;25763,17;103555,38;13447,12;137524,43;118825,27;60700,54;111158,65;164632,94;37765,04;30919,57;85332,65;27145,58;34706,01;31795,52;255507,81;25197,64;6032,35;318989,13;29142,54;50269,6;8922,85;48761,51;35691,42;18348,4;77792,21;81688,1;34937,37;16617,37;174636,59;41660,93;45101,7;16149,11;137990,05;43357,53;41975,12;15080,88;117379,52;5906,68;242726,76;11813,36;214902,54;167774,79;29332,31;56930,32;36005,6;10820,53;33435,57;4712,78;79048,95;32423,89;21867,28;198954,51;15080,88;69120,7;37953,55;28025,3;27522,61;176823,32;125422,65;11823,82;187505,61;358611,65;283181,22;73217,67;67612,61;11813,36;95260,89;5655,33;58312,74;43608,88;145027,8;19730,82;108079,64;47756,12;48081,62;14703,86;49691,5;49138,53;15080,88;6283,7;66732,89;111347,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;8860,02;23897,72;12818,75;39084,61;1005,39;56930,32;148043,97;24317,92;157972,22;75404,4;9488,39;12316,05;100765,41;87343,43;67612,61;278240,98;18976,77;25511,82;67738,29;7125,72;91152,12;244058,91;94569,69;20296,35;161684,63;278116,56;19982,17;48133,14;66607,22;7791,79;114740,36;8797,18;40215,68;34937,37;450168,42;31520,77;125674,0;56427,63;27396,93;125422,65;40379,06;103618,21;17424,7;15332,23;39084,61;10456,08;46248,03;84578,6;18976,77;11717,22;196423,62;59569,48;57558,69;20107,84;74901,7;9991,08;23249,69;117379,52;23626,71;55296,56;155207,39;50269,6;25763,17;31041,48;30036,09;46373,71;16588,97;48761,51;38320,37;180593,54;32046,87;27773,95;18851,1;96643,31;165386,98;90485,28;11649,98;91679,18;8420,16;81436,75;93452,44;50395,27;44739,94;171419,34;122406,48;125674,0;39084,61;32298,22;58061,39;14578,18;227934,76;273009,17;21461,35;96768,98;40844,05;165657,81;125674,0;77415,18;43985,9;36948,16;59255,29;127936,13;15206,55;32800,91;22746,99;139060,79;43734,55;233301,21;45368,31;11939,03;21992,95;17424,7;100539,2;165638,33;146033,19;137553,89;18222,73;15709,25;1734,3;17720,03;247124,56;502696,0;24255,08;132963,09;12567,4;33258,77;85458,32;8797,18;74901,7;39974,39;122029,45;43106,18;122406,48;30350,27;258008,72;85458,32;62208,63;110833,13;20233,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;71005,81;38833,27;284274,59;92998,76;77289,51;175817,93;135350,9;37702,2;22011,8;18851,1;110216,1;68366,66;502696,0;8420,16;110090,42;25637,5;125674,0;17594,36;49012,86;98528,42;27773,95;27019,91;345100,8;59318,13;3518,87;26014,52;205602,66;12316,05;12944,42;19468,16;34748,86;11813,36;46876,4;98779,76;39400,06;16130,26;122909,17;312802,59;39210,29;66550,67;32147,41;56553,3;36696,81;28145,95;62962,67;221688,94;33303,61;57433,02;108205,31;113609,3;45368,31;16588,97;63591,04;32549,57;46876,4;92621,74;125674,0;60072,17;147541,28;149803,41;343592,72;25260,47;100559,31;16211,95;50132,41;46069,57;63151,19;490882,64;62020,12;43985,9;24255,08;92549,85;125674,0;211817,24;61705,93;117714,09;43985,9;28905,02;38456,24;19730,82;37325,18;117756,54;179172,17;41346,75;20107,84;28905,02;352275,58;31869,48;149803,41;69623,4;37702,2;232622,57;165657,81;47253,42;339758,4;17845,71;17498,76;11436,33;24003,73;201832,44;61033,05;14515,35;72639,57;31292,83;95449,4;94569,69;111849,86;44991,29;39461,64;312299,89;236267,41;11687,68;185180,64;81688,1;53537,12;35113,32;45242,64;27497,47;15041,92;50143,93;20107,84;502696,0;233376,62;10430,94;228322,24;205225,64;73770,64;117307,88;78923,27;25507,23;31544,17;79048,95;110639,41;64729,42;35565,74;11184,99;152819,58;173681,47;16588,97;28905,02;25386,15;23249,69;60197,85;19353,8;153573,63;502696,0;57810,04;17334,49;11184,99;379409,81;33931,98;7125,72;13547,66;37702,2;375513,91;19730,82;160988,39;125674,0;36194,11;14075,49;123818,42;33931,98;23375,36;23438,2;52513,51;17971,38;48133,14;164004,57;;;;;;;;;;;;;;;;;;;;;
14;79551,64;44802,78;17971,38;19102,45;19605,14;444508,94;319840,33;60197,85;31669,85;38330,57;125674,0;369230,21;254615,52;11562,01;17217,34;93325,51;53034,43;18159,89;41472,42;34686,02;51400,67;26391,54;125674,0;13447,12;101167,57;100287,85;37862,25;231994,2;19043,38;12119,16;87667,67;36592,5;69962,72;39587,31;179172,17;48007,47;17845,71;106797,77;73142,27;90108,26;20736,21;247954,8;82567,82;125674,0;94381,17;14201,16;43985,9;15709,25;144902,12;26517,21;47756,12;102974,26;16840,32;43219,29;233376,62;12567,4;93061,6;104137,5;110970,14;314,19;13447,12;24255,08;61580,26;75404,4;106194,53;22244,3;93061,6;103797,3;74399,01;26014,52;22118,62;73142,27;78637,14;8922,85;167900,46;20861,88;61328,91;43483,2;196679,81;107199,92;79425,97;55296,56;71005,81;82190,8;25741,81;10469,55;17544,09;99282,46;27208,42;9071,63;184740,78;22772,13;39335,96;44111,57;35817,09;285665,22;242131,07;24883,45;103128,08;258762,77;9048,53;9739,74;178205,73;502696,0;295836,6;102795,05;215081,14;109839,08;68492,33;153447,95;273969,32;21194,92;10933,64;20459,73;264895,66;213645,8;16840,32;43483,2;14467,4;50482,47;94107,81;16211,95;83573,21;31418,5;223574,05;88474,5;10933,64;84955,62;109210,71;185180,64;358611,65;13007,26;33052,26;26140,19;18976,77;55867,12;36948,16;308906,69;125674,0;20512,42;182836,72;14955,21;33303,61;35565,74;9299,88;128941,52;28025,3;59407,36;20987,56;235387,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;90222,16;502696,0;167774,79;41472,42;35440,07;63339,7;89605,56;220809,22;26768,56;26643,14;31041,48;51237,29;10831,59;42346,8;30790,13;38456,24;86212,36;52908,75;387201,59;197810,88;9798,8;48364,38;128438,83;125674,0;11813,36;155333,06;31418,5;19353,8;117253,84;145781,84;272032,68;49691,5;21831,06;47881,79;16840,32;56678,97;91742,02;63151,19;129192,87;125674,0;22621,32;52531,73;6974,91;307901,3;125674,0;27497,47;35063,05;35440,07;16211,95;151273,79;241796,78;289050,2;10797,91;389589,4;14326,84;16840,32;18222,73;160988,39;15834,92;103304,03;211760,69;317703,87;106445,88;10305,27;401665,46;67361,26;22244,3;27522,61;23124,02;148043,97;54291,17;107980,62;10053,92;95637,91;324398,07;38953,15;82567,82;31795,52;47969,77;8922,85;128438,83;20107,84;82693,49;54156,7;39225,37;20233,51;57056,0;39802,97;57810,04;68366,66;21741,6;95637,91;91616,35;97648,7;100633,46;88097,47;134848,2;22244,3;85949,71;9928,25;72262,55;435584,83;192532,57;502696,0;137306,59;118761,93;72765,25;25386,15;78546,25;68853,98;11813,36;25637,5;177954,38;9425,55;211633,61;97774,37;32172,54;10330,4;120898,39;172173,38;17343,01;125674,0;43483,2;502696,0;94751,91;39335,96;39335,96;125674,0;38173,48;125674,0;125674,0;69402,21;108372,18;52531,73;12441,73;89251,16;11687,68;61454,59;87343,43;23878,06;7666,11;117253,84;83698,88;329642,9;21492,84;7163,42;453557,47;67109,92;109839,08;41472,42;26768,56;24408,4;267936,97;69372,05;11436,33;80180,01;71131,48;112352,56;12316,05;19605,14;12567,4;55296,56;51652,01;82567,82;34434,68;11750,52;20736,21;39587,31;53788,47;50520,95;54793,86;59494,07;16211,95;55924,93;50520,95;56804,65;17544,09;45493,99;76032,77;83975,35;50482,47;44739,94;43734,55;90485,28;21615,93;;;;
16;16320,03;486609,73;137862,37;95637,91;30497,31;628,37;49012,86;44865,62;114111,99;394333,59;168403,16;10456,08;17845,71;502696,0;58061,39;23878,06;27193,42;22244,3;11872,45;23752,39;13949,81;46436,54;37199,5;224328,09;21050,4;125674,0;115117,38;74273,33;11562,01;312928,26;125674,0;39802,97;21992,95;53788,47;78546,25;16274,78;35565,74;51149,32;131957,7;42601,9;59569,48;30538,78;26391,54;27145,58;502696,0;125674,0;436717,15;85458,32;9802,57;31795,52;69402,21;3393,2;206733,73;98528,42;18010,32;197795,8;56176,28;39964,33;44739,94;59785,64;66607,22;77289,51;40969,72;502696,0;78639,25;283181,22;3518,87;67361,26;50395,27;235136,05;115557,24;124064,12;119578,81;52783,08;42370,83;59946,5;48007,47;18976,77;25888,84;68995,03;85458,32;114363,34;125674,0;118259,23;73142,27;73393,62;99785,16;302371,64;172584,33;93124,43;108833,68;22872,67;63010,43;502696,0;81348,78;43985,9;66267,9;21867,28;52908,75;33554,96;293448,79;11310,66;85081,3;19730,82;174651,67;20861,88;54039,82;49389,88;224202,42;48510,16;65350,48;62837,0;4398,59;19039,61;13572,79;290540,69;69072,94;64470,76;243774,88;74273,33;26140,19;9676,9;21364,58;103429,7;68618,0;115620,08;502696,0;19730,82;124668,61;80619,87;122657,82;67801,12;148443,62;345100,8;35817,09;30664,46;108961,49;52908,75;28276,65;49012,86;502696,0;223311,39;32549,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
